use_ref	p	hit	accuracy	precision	recall	f1	time	mem	bf_size
false	0.01	2	0.27197	0.2693814749613083	0.9996759559300065	0.42440030992552297	19.36	3488	1006374
false	0.01	4	0.301054	0.27688813515749233	0.9948860631252747	0.4332092081831776	36.18	3556	1006374
false	0.01	6	0.391202	0.30249644823711846	0.9706944972102413	0.4612531039108834	50.38	3556	1006374
false	0.01	8	0.538292	0.359405332564969	0.9198903464664298	0.5168679943410599	61.02	3556	1006374
false	0.01	10	0.696016	0.463739280709567	0.8455613411699853	0.5989762803092267	70.02	3556	1006374
false	0.0001	2	0.774837	0.5588731751204807	0.7658241520846835	0.6461831947113609	73.7	4540	2011324
false	0.0001	4	0.901121	0.9047978194767317	0.7059951877593283	0.7931284821527576	75.05	4540	2011324
false	0.0001	6	0.910045	0.9488918950179278	0.702803167437668	0.8075149518011704	80.28	4540	2011324
false	0.0001	8	0.912066	0.9593675897373268	0.7022183982538867	0.810894623655914	80.1	4540	2011324
false	0.0001	10	0.914621	0.9726482841935168	0.7017267451821724	0.8152693425303074	79.84	4540	2011324
false	1e-06	2	0.901564	0.9093036018601427	0.7035331977562742	0.7932920068541478	73.12	5336	3016522
false	1e-06	4	0.908234	0.9400386461881711	0.7030489939735253	0.8044527977020017	73.8	5336	3016522
false	1e-06	6	0.910863	0.9530859207235429	0.702579688768707	0.808881703784544	74.7	5336	3016522
false	1e-06	8	0.912849	0.9633710678966602	0.7020880356969927	0.8122340551592491	75.39	5336	3016522
false	1e-06	10	0.915224	0.9758631051061007	0.7015926579807957	0.8163057468375275	76.07	5336	3016522
false	1e-08	2	0.904944	0.9243772329075515	0.7035034006004127	0.7989560332648072	73.32	6392	4022305
false	1e-08	4	0.908474	0.9411855634118855	0.7030303707511119	0.8048602642059749	74.2	6392	4022305
false	1e-08	6	0.910938	0.9534609824398232	0.702568514835259	0.8090093413050378	74.92	6392	4022305
false	1e-08	8	0.912885	0.9635673061685607	0.7020731371190619	0.8122938227074594	75.42	6392	4022305
false	1e-08	10	0.915289	0.9762165131718744	0.7015740347583823	0.8164167557012858	76.29	6500	4022305
